fecha,cabE,cabO,hab1,hab2,hab3,hab4
27/1/2025,X,,,X,X,x
28/1/2025,x,X,X,X,X,x
29/1/2025,x,X,,X,x,X
30/1/2025,x,X,,,x,X
31/1/2025,x,X,,,x,X
1/2/2025,X,X,,X,X,
2/2/2025,X,,,X,X,
3/2/2025,X,X,X,X,X,
4/2/2025,X,X,X,,X,
5/2/2025,X,X,X,X,x,x
6/2/2025,X,x,X,x,x,x
7/2/2025,X,X,X,x,x,x
8/2/2025,X,X,x,x,x,X
9/2/2025,X,X,,x,x,X
10/2/2025,X,X,x,x,X,X
11/2/2025,X,X,X,x,,
12/2/2025,,X,X,x,,
13/2/2025,,X,,,,
14/2/2025,,x,,X,,
15/2/2025,,x,,X,,
16/2/2025,,x,,X,,
17/2/2025,,,,X,,
18/2/2025,,,,X,,X
19/2/2025,,,,X,,X
20/2/2025,X,,,X,,X
21/2/2025,X,X,,x,x,
22/2/2025,X,X,X,X,x,X
23/2/2025,X,X,X,,x,x
24/2/2025,X,X,X,,x,
25/2/2025,X,X,X,,x,
26/2/2025,X,X,X,,x,
27/2/2025,X,X,X,X,x,
28/2/2025,X,X,X,X,X,
1/3/2025,X,X,X,X,X,X
2/3/2025,X,X,X,X,X,X
3/3/2025,X,X,X,X,X,X
4/3/2025,x,,,,,X
5/3/2025,x,,,,,
6/3/2025,x,X,,,,
7/3/2025,x,X,X,X,X,X
8/3/2025,,X,X,X,X,X
9/3/2025,,X,X,X,X,X
10/3/2025,,,,,,
11/3/2025,,,,,,
12/3/2025,,,,,,
13/3/2025,,,,,,
14/3/2025,,,X,X,X,X
15/3/2025,,,X,X,X,X
16/3/2025,,,X,X,X,X
17/3/2025,,,,,,
18/3/2025,,,,,,
19/3/2025,,,,,,
20/3/2025,,,,,,
21/3/2025,,,,,,
22/3/2025,x,x,,,x,
23/3/2025,x,x,,,x,
24/3/2025,x,,,,,
25/3/2025,,,,,,
26/3/2025,,,,,,
27/3/2025,,,,,,
28/3/2025,,x,,,,
29/3/2025,,x,,,,
30/3/2025,,x,,,,
31/3/2025,,,,,,
1/4/2025,,,,,,
2/4/2025,,,,,,
3/4/2025,,,,,,
4/4/2025,,,,,,
5/4/2025,,,,,,
6/4/2025,,,,,,
7/4/2025,,,,,,
8/4/2025,,,,,,
9/4/2025,,,,,,
10/4/2025,,,,,,
11/4/2025,,,,,,
12/4/2025,,,,,,
13/4/2025,,,,,,
14/4/2025,,,,,,
15/4/2025,,,,,,
16/4/2025,,,,,,
17/4/2025,,X,,,,
18/4/2025,,X,x,,,X
19/4/2025,x,X,x,,X,
20/4/2025,x,,,,,
21/4/2025,x,,,,,
22/4/2025,,,,,,
23/4/2025,,,,,,
24/4/2025,,,,,,
25/4/2025,,,,,,
26/4/2025,,,,,,
27/4/2025,,,,,,
28/4/2025,,,,,,
29/4/2025,,,,,,
30/4/2025,,X,,,,
1/5/2025,X,X,,x,,
2/5/2025,X,X,,x,,
3/5/2025,,,,,,
4/5/2025,,,,,,
5/5/2025,,,,,,
6/5/2025,,,,,,
7/5/2025,,,,,,
8/5/2025,,,,,,
9/5/2025,,,,,,
10/5/2025,,,,,,
11/5/2025,,,,,,
12/5/2025,,,,,,
13/5/2025,,,,,,
14/5/2025,,,,,,
15/5/2025,,,,,,
16/5/2025,,,,,,
17/5/2025,,,,,,
18/5/2025,,,,,,
19/5/2025,,,,,,
20/5/2025,,,,,,
21/5/2025,,,,,,
22/5/2025,,,,,,
23/5/2025,,,,,,
24/5/2025,,,,,,
25/5/2025,,,,,,
26/5/2025,,,,,,
27/5/2025,,,,,,
28/5/2025,,,,,,
29/5/2025,,,,,,
30/5/2025,,,,,,
31/5/2025,,,,,,
1/6/2025,,,,,,
2/6/2025,,,,,,
3/6/2025,,,,,,
4/6/2025,,,,,,
5/6/2025,,,,,,
6/6/2025,,,,,,
7/6/2025,,,,,,
8/6/2025,,,,,,
9/6/2025,,,,,,
10/6/2025,,,,,,
11/6/2025,,x,,,,
12/6/2025,,x,,,,
13/6/2025,,x,,,,
14/6/2025,,,,,,
15/6/2025,,,,,,
16/6/2025,,,,,,
17/6/2025,,,,,,
18/6/2025,,,,,,
19/6/2025,,x,,,,
20/6/2025,x,x,X,X,X,X
21/6/2025,x,x,X,X,X,X
22/6/2025,,,,,,
23/6/2025,,,,,,
24/6/2025,,,,,,
25/6/2025,,,,,,
26/6/2025,,,,,,
27/6/2025,,,,,,
28/6/2025,,,,,,
29/6/2025,,,,,,
30/6/2025,,,,,,
1/7/2025,,,,,,
2/7/2025,,,,,,
3/7/2025,,,,,,
4/7/2025,,,,,,
5/7/2025,,,,,,
6/7/2025,,,,,,
7/7/2025,,,,,,
8/7/2025,,,,,,
9/7/2025,,,,,,
10/7/2025,,,,,,
11/7/2025,,,,x,,
12/7/2025,,,,x,,
13/7/2025,,,,,,
14/7/2025,,,,,,
15/7/2025,,,,,,
16/7/2025,,,,,,
17/7/2025,,,,,,
18/7/2025,,,,,,
19/7/2025,,,,,,
20/7/2025,,,,,,
21/7/2025,x,,,,,
22/7/2025,x,,,,,
23/7/2025,x,,,,,
24/7/2025,,,,,,
25/7/2025,x,,,,,
26/7/2025,x,,,,,
27/7/2025,x,,,,,
28/7/2025,x,,,,,
29/7/2025,,,,,,
30/7/2025,,,,,,
31/7/2025,,,,,,
1/8/2025,,,,,,
2/8/2025,,,,,,
3/8/2025,,,,,,
4/8/2025,,,,,,
5/8/2025,,,,,,
6/8/2025,,,,,,
7/8/2025,,,,,,
8/8/2025,,,,,,
9/8/2025,,,,,,
10/8/2025,,,,,,
11/8/2025,,,,,,
12/8/2025,,,,,,
13/8/2025,,,,,,
14/8/2025,,,,,,
15/8/2025,,,,,,
16/8/2025,,,,,,
17/8/2025,,,,,,
18/8/2025,,,,,,
19/8/2025,,,,,,
20/8/2025,,,,,,
21/8/2025,,,,,,
22/8/2025,,,,,,
23/8/2025,,,,,,
24/8/2025,,,,,,
25/8/2025,,,,,,
26/8/2025,,,,,,
27/8/2025,,,,,,
28/8/2025,,,,,,
29/8/2025,,,,,,
30/8/2025,,,,,,
31/8/2025,,,,,,
1/9/2025,,,,,,
2/9/2025,,,,,,
3/9/2025,,,,,,
4/9/2025,,,,,,
5/9/2025,,,,,,
6/9/2025,,,,,,
7/9/2025,,,,,,
8/9/2025,,,,,,
9/9/2025,,,,,,
10/9/2025,,,,,,
11/9/2025,,,,,,
12/9/2025,,,,,,
13/9/2025,,,,,,
14/9/2025,,,,,,
15/9/2025,,,,,,
16/9/2025,,,,,,
17/9/2025,,,,,,
18/9/2025,,,,,,
19/9/2025,,,,,,
20/9/2025,,,,,,
21/9/2025,,,,,,
22/9/2025,,,,,,
23/9/2025,,,,,,
24/9/2025,,,,,,
25/9/2025,,,,,,
26/9/2025,,,,,,
27/9/2025,,,,,,
28/9/2025,,,,,,
29/9/2025,,,,,,
30/9/2025,,,,,,
1/10/2025,,,,,,
2/10/2025,,,,,,
3/10/2025,,,,,,
4/10/2025,,,,,,
5/10/2025,,,,,,
6/10/2025,,,,,,
7/10/2025,,,,,,
8/10/2025,,,,,,
9/10/2025,,,,,,
10/10/2025,,,,x,,
11/10/2025,,,,x,,
12/10/2025,,,,x,,
13/10/2025,,,,,,
14/10/2025,,,,,,
15/10/2025,,,,,,
16/10/2025,,,,,,
17/10/2025,,,,,,
18/10/2025,,,,,,
19/10/2025,,,,,,
20/10/2025,,,,,,
21/10/2025,,,,,,
22/10/2025,,,,,,
23/10/2025,,,,,,
24/10/2025,,,,,,
25/10/2025,,,,,,
26/10/2025,,,,,,
27/10/2025,,,,,,
28/10/2025,,,,,,
29/10/2025,,,,,,
30/10/2025,,,,,,
31/10/2025,,,,,,
1/11/2025,,,,,,
2/11/2025,,,,,,
3/11/2025,,,,,,
4/11/2025,,,,,,
5/11/2025,,,,,,
6/11/2025,,,,,,
7/11/2025,,,,,,
8/11/2025,,,,,,
9/11/2025,,,,,,
10/11/2025,,,,,,
11/11/2025,,,,,,
12/11/2025,,,,,,
13/11/2025,,,,,,
14/11/2025,,,,,,
15/11/2025,,,,,,
16/11/2025,,,,,,
17/11/2025,,,,,,
18/11/2025,,,,,,
19/11/2025,,,,,,
20/11/2025,,,,,,
21/11/2025,,,,,,
22/11/2025,,,,,,
23/11/2025,,,,,,
24/11/2025,,,,,,
25/11/2025,,,,,,
26/11/2025,,,,,,
27/11/2025,,,,,,
28/11/2025,,,,,,
29/11/2025,,,,,,
30/11/2025,,,,,,
1/12/2025,,,,,,
2/12/2025,,,,,,
3/12/2025,,,,,,
4/12/2025,,,,,,
5/12/2025,,,,,,
6/12/2025,,,,,,
7/12/2025,,,,,,
8/12/2025,,,,,,
9/12/2025,,,,,,
10/12/2025,,,,,,
11/12/2025,,,,,,
12/12/2025,,,,,,
13/12/2025,,,,,,
14/12/2025,,,,,,
15/12/2025,,,,,,
16/12/2025,,,,,,
17/12/2025,,,,,,
18/12/2025,,,,,,
19/12/2025,,,,,,
20/12/2025,,,,,,
21/12/2025,,,,,,
22/12/2025,,,,,,
23/12/2025,,,,,,
24/12/2025,,,,,,
25/12/2025,,,,,,
26/12/2025,,,,,,
27/12/2025,,,,,,
28/12/2025,,,,,,
29/12/2025,,,,,,
30/12/2025,,,,,,
31/12/2025,,,,,,
